Date,Annualized_Return,Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown
2019-06-13,0.17622825945363826,0.03512044439091532,5.017825443553431,5.007036656048565,-0.00747757555023285
2019-06-14,0.16261476881120643,0.03508892789091743,4.6343612810495225,4.638584184174757,-0.00747757555023291
2019-06-17,0.15111463193719488,0.03500399302616111,4.31706839343316,4.339536462628103,-0.0074775755502328916
2019-06-18,0.17309442058840346,0.036866246925299107,4.6952004889225405,5.0670074769880245,-0.007477575550232789
2019-06-19,0.16420512685623803,0.03611211009795973,4.5470931056314905,4.772796116228371,-0.007477575550232705
2019-06-20,0.1841080167947415,0.03808173319446511,4.834549306214356,5.431527451730131,-0.00747757555023293
2019-06-21,0.1705601530474844,0.038074984473087686,4.479585623154763,5.0485668505218495,-0.007477575550232624
2019-06-24,0.16487399510341294,0.03799297174839392,4.339591969674831,4.85789921421693,-0.007477575550232748
2019-06-25,0.16288079187437637,0.038034063982990376,4.28249770908573,4.873816537832189,-0.00747757555023298
2019-06-26,0.15397431638516398,0.03836586680052684,4.013315199828865,4.559671689139004,-0.007477575550232862
2019-06-27,0.1697961190613771,0.038691941333730544,4.388410434018559,5.019619700442456,-0.007477575550233004
2019-06-28,0.16381649755796973,0.038829185315585234,4.218901226655847,4.87793992957857,-0.007477575550232874
2019-07-01,0.16472209656236853,0.03883195216913287,4.241921597063165,4.908655860078565,-0.007477575550232662
2019-07-02,0.15293393247411183,0.03908142870279702,3.9132124272408313,4.518502972102049,-0.007477575550232813
2019-07-03,0.16823178897311147,0.03964716691387203,4.243223465085707,5.038486160525231,-0.007477575550233022
2019-07-05,0.1569118105598052,0.03996238647922207,3.9264874894643613,4.646536230237972,-0.0074775755502329575
2019-07-08,0.14904760874290704,0.04004902570440826,3.7216288316971746,4.433343008301362,-0.007477575550233027
2019-07-09,0.14698045494927228,0.04001807872300347,3.6728513621715666,4.362327342785608,-0.007477575550232743
2019-07-10,0.15474344214808297,0.04020730319609008,3.848640168513735,4.629019498933538,-0.007477575550232675
2019-07-11,0.13235133632133345,0.04038021486321425,3.2776283328275073,3.800684823712408,-0.006426685224450262
2019-07-12,0.1492860401372338,0.039902068672442226,3.7413107917468946,4.456883404154553,-0.006426685224450123
2019-07-15,0.15439488592913006,0.03976826964905433,3.882363685712976,4.588127844003129,-0.006426685224450078
2019-07-16,0.14463311557124767,0.04024775625358822,3.5935696554103718,4.1216951231988155,-0.006426685224450214
2019-07-17,0.15975376677282402,0.03975601498866281,4.018354626800017,4.695030334136727,-0.006426685224450203
2019-07-18,0.16672741711712205,0.039604094544737845,4.209853022363188,4.877345339055682,-0.006426685224449767
2019-07-19,0.16153899247543047,0.039621869068839924,4.077015957898629,4.784294495531201,-0.006426685224450084
2019-07-22,0.15629160943055476,0.039660145257423056,3.9407724912783113,4.6796742434567316,-0.006426685224450093
2019-07-23,0.13959024122813468,0.0388616226379777,3.5919817998469132,4.106220287384869,-0.006426685224449961
2019-07-24,0.13419565394925914,0.03865013364632631,3.472061834953433,3.9209931024649025,-0.006426685224450327
2019-07-25,0.1296854621312448,0.03887546805880555,3.335920275868426,3.708019344296187,-0.006426685224450213
2019-07-26,0.13627098301733606,0.03887326801162888,3.505519087733267,3.8694336175015787,-0.00642668522445018
2019-07-29,0.14302931732357735,0.0389200124213507,3.674955592899926,4.025737125255276,-0.006426685224450014
2019-07-30,0.1484703667372038,0.03912625935203128,3.794647615080428,4.20377789717287,-0.006426685224450178
2019-07-31,0.14399264424544128,0.03914034032609777,3.678880741602308,4.125997570627713,-0.006426685224449941
2019-08-01,0.17368171103023441,0.03703101116252835,4.690169281847286,6.076791023947693,-0.006426685224450143
2019-08-02,0.15523170769809042,0.037385811465738474,4.152155633704771,5.231657945059835,-0.006426685224450298
2019-08-05,0.13841388573129607,0.03615235359313482,3.8286272392948795,4.581033225392676,-0.006426685224450198
2019-08-06,0.15268489861993473,0.03593935922687252,4.2484034747555945,5.15473577428732,-0.00642668522445006
2019-08-07,0.1454389382754138,0.0363078618883247,4.005714760146251,4.729799574267636,-0.006426685224449954
2019-08-08,0.16764071056465268,0.036555268236354126,4.585952139121069,5.587422230218608,-0.006426685224450056
2019-08-09,0.16792937326122603,0.036544623230633004,4.595186881567345,5.602204295333671,-0.006426685224450061
2019-08-12,0.17936953973990594,0.03631458195502089,4.939325474325229,6.019697488678052,-0.00642668522445001
2019-08-13,0.17313062802395704,0.03587068262414011,4.826521698459239,5.784041658524594,-0.006426685224450257
2019-08-14,0.15146685821614725,0.03562114168603138,4.252161807479182,4.958139793963022,-0.006426685224450033
2019-08-15,0.15630609030482276,0.03576242205536849,4.370679649796226,5.140646545220715,-0.0038917166264067563
2019-08-16,0.16937837703174116,0.03517934347516167,4.814711142956108,5.793391875515222,-0.0033239658132980703
2019-08-19,0.18139701131164,0.0347587991300388,5.218736430824372,6.33994931343035,-0.003323965813298252
2019-08-20,0.18166212650752242,0.034762003183907444,5.22588199380927,6.3503634895693954,-0.003323965813298235
2019-08-21,0.19066577391594516,0.03435284825557541,5.550217335617882,6.782274114792119,-0.003323965813298132
2019-08-22,0.18797875168691164,0.03452246457948057,5.445113898346709,6.573140479895338,-0.0033239658132983604
2019-08-23,0.17910722402570659,0.034467144056018806,5.196462571270975,6.3462713512211355,-0.003323965813298315
2019-08-26,0.17400485075548308,0.03431942639562449,5.070156148579091,6.142754223030752,-0.0033239658132979796
2019-08-27,0.19153762222677237,0.03425473008772588,5.591567113103715,6.858336957200238,-0.0033239658132980447
